Variable,Label_ID,FS_Label_Name,Hemisphere,FS_Structure,Feature_Family
label50_wavelet-HLH_glcm_SumSquares,50,Right-Caudate,RH,Caudate,Texture – GLCM
label1035_log-sigma-3-0-mm-3D_glcm_ClusterTendency,1035,ctx-lh-insula,LH,insula,Texture – GLCM
label8_log-sigma-1-0-mm-3D_glcm_DifferenceEntropy,8,Left-Cerebellum-Cortex,LH,Cerebellum-Cortex,Texture – GLCM
label11_wavelet-LHH_firstorder_90Percentile,11,Left-Caudate,LH,Caudate,First-order
label1035_log-sigma-3-0-mm-3D_glcm_JointAverage,1035,ctx-lh-insula,LH,insula,Texture – GLCM
label1035_log-sigma-3-0-mm-3D_glcm_SumAverage,1035,ctx-lh-insula,LH,insula,Texture – GLCM
label1035_log-sigma-3-0-mm-3D_firstorder_Entropy,1035,ctx-lh-insula,LH,insula,First-order
label1035_log-sigma-3-0-mm-3D_glcm_JointEnergy,1035,ctx-lh-insula,LH,insula,Texture – GLCM
label1035_log-sigma-3-0-mm-3D_glcm_SumEntropy,1035,ctx-lh-insula,LH,insula,Texture – GLCM
label2_wavelet-LLH_gldm_DependenceNonUniformityNormalized,2,Left-Cerebral-White-Matter,LH,Cerebral-White-Matter,Texture – GLDM
label2010_wavelet-LLH_glrlm_LongRunLowGrayLevelEmphasis,2010,ctx-rh-isthmuscingulate,RH,isthmuscingulate,Texture – GLRLM
label2023_wavelet-LLH_glrlm_ShortRunLowGrayLevelEmphasis,2023,ctx-rh-posteriorcingulate,RH,posteriorcingulate,Texture – GLRLM
label50_wavelet-HHH_firstorder_MeanAbsoluteDeviation,50,Right-Caudate,RH,Caudate,First-order
label17_wavelet-HLL_glcm_JointEntropy,17,Left-Hippocampus,LH,Hippocampus,Texture – GLCM
label1035_log-sigma-3-0-mm-3D_gldm_GrayLevelVariance,1035,ctx-lh-insula,LH,insula,Texture – GLDM
label1035_log-sigma-3-0-mm-3D_firstorder_Uniformity,1035,ctx-lh-insula,LH,insula,First-order
label1035_log-sigma-3-0-mm-3D_gldm_LowGrayLevelEmphasis,1035,ctx-lh-insula,LH,insula,Texture – GLDM
label1035_log-sigma-3-0-mm-3D_gldm_HighGrayLevelEmphasis,1035,ctx-lh-insula,LH,insula,Texture – GLDM
label2011_wavelet-HHL_gldm_SmallDependenceEmphasis,2011,ctx-rh-lateraloccipital,RH,lateraloccipital,Texture – GLDM
label11_wavelet-HHH_firstorder_RobustMeanAbsoluteDeviation,11,Left-Caudate,LH,Caudate,First-order
label1010_wavelet-HHH_glcm_DifferenceVariance,1010,ctx-lh-isthmuscingulate,LH,isthmuscingulate,Texture – GLCM
label1035_log-sigma-3-0-mm-3D_glcm_JointEntropy,1035,ctx-lh-insula,LH,insula,Texture – GLCM
label2014_log-sigma-1-0-mm-3D_gldm_HighGrayLevelEmphasis,2014,ctx-rh-medialorbitofrontal,RH,medialorbitofrontal,Texture – GLDM
label2014_log-sigma-1-0-mm-3D_gldm_LowGrayLevelEmphasis,2014,ctx-rh-medialorbitofrontal,RH,medialorbitofrontal,Texture – GLDM
label1010_wavelet-HHH_glcm_DifferenceEntropy,1010,ctx-lh-isthmuscingulate,LH,isthmuscingulate,Texture – GLCM
label1010_wavelet-HHH_glcm_Imc1,1010,ctx-lh-isthmuscingulate,LH,isthmuscingulate,Texture – GLCM
label50_wavelet-HHH_firstorder_InterquartileRange,50,Right-Caudate,RH,Caudate,First-order
label1014_wavelet-LLH_gldm_LargeDependenceLowGrayLevelEmphasis,1014,ctx-lh-medialorbitofrontal,LH,medialorbitofrontal,Texture – GLDM
label2_wavelet-LLH_gldm_LargeDependenceLowGrayLevelEmphasis,2,Left-Cerebral-White-Matter,LH,Cerebral-White-Matter,Texture – GLDM
label11_wavelet-LHH_firstorder_10Percentile,11,Left-Caudate,LH,Caudate,First-order
label11_wavelet-HHH_firstorder_InterquartileRange,11,Left-Caudate,LH,Caudate,First-order
label2014_log-sigma-1-0-mm-3D_glcm_SumAverage,2014,ctx-rh-medialorbitofrontal,RH,medialorbitofrontal,Texture – GLCM
label2014_log-sigma-1-0-mm-3D_glcm_JointAverage,2014,ctx-rh-medialorbitofrontal,RH,medialorbitofrontal,Texture – GLCM
label2035_log-sigma-3-0-mm-3D_firstorder_10Percentile,2035,ctx-rh-insula,RH,insula,First-order
label2011_wavelet-HLH_gldm_SmallDependenceHighGrayLevelEmphasis,2011,ctx-rh-lateraloccipital,RH,lateraloccipital,Texture – GLDM
label2011_wavelet-LHH_gldm_SmallDependenceLowGrayLevelEmphasis,2011,ctx-rh-lateraloccipital,RH,lateraloccipital,Texture – GLDM
label2002_wavelet-LLH_glrlm_LongRunEmphasis,2002,ctx-rh-caudalanteriorcingulate,RH,caudalanteriorcingulate,Texture – GLRLM
label2014_log-sigma-1-0-mm-3D_glcm_Autocorrelation,2014,ctx-rh-medialorbitofrontal,RH,medialorbitofrontal,Texture – GLCM
label1010_wavelet-HHH_glcm_Imc2,1010,ctx-lh-isthmuscingulate,LH,isthmuscingulate,Texture – GLCM
label1010_wavelet-HHH_glcm_MCC,1010,ctx-lh-isthmuscingulate,LH,isthmuscingulate,Texture – GLCM
label17_wavelet-HLL_glcm_JointEnergy,17,Left-Hippocampus,LH,Hippocampus,Texture – GLCM
label2010_wavelet-HLH_firstorder_InterquartileRange,2010,ctx-rh-isthmuscingulate,RH,isthmuscingulate,First-order
label8_log-sigma-1-0-mm-3D_glcm_Id,8,Left-Cerebellum-Cortex,LH,Cerebellum-Cortex,Texture – GLCM
label8_log-sigma-1-0-mm-3D_glcm_Idm,8,Left-Cerebellum-Cortex,LH,Cerebellum-Cortex,Texture – GLCM
label8_log-sigma-1-0-mm-3D_glcm_InverseVariance,8,Left-Cerebellum-Cortex,LH,Cerebellum-Cortex,Texture – GLCM
label8_log-sigma-1-0-mm-3D_glcm_Contrast,8,Left-Cerebellum-Cortex,LH,Cerebellum-Cortex,Texture – GLCM
label8_log-sigma-1-0-mm-3D_glcm_DifferenceAverage,8,Left-Cerebellum-Cortex,LH,Cerebellum-Cortex,Texture – GLCM
label8_log-sigma-1-0-mm-3D_glcm_Idmn,8,Left-Cerebellum-Cortex,LH,Cerebellum-Cortex,Texture – GLCM
label8_log-sigma-1-0-mm-3D_glcm_Idn,8,Left-Cerebellum-Cortex,LH,Cerebellum-Cortex,Texture – GLCM
label2011_wavelet-HLH_gldm_SmallDependenceEmphasis,2011,ctx-rh-lateraloccipital,RH,lateraloccipital,Texture – GLDM
label2028_wavelet-HLH_glcm_JointEntropy,2028,ctx-rh-superiorfrontal,RH,superiorfrontal,Texture – GLCM
label2023_wavelet-LLH_glrlm_RunPercentage,2023,ctx-rh-posteriorcingulate,RH,posteriorcingulate,Texture – GLRLM
label2028_wavelet-HLH_glcm_JointEnergy,2028,ctx-rh-superiorfrontal,RH,superiorfrontal,Texture – GLCM
label2028_wavelet-HLH_glcm_DifferenceEntropy,2028,ctx-rh-superiorfrontal,RH,superiorfrontal,Texture – GLCM
label1035_log-sigma-3-0-mm-3D_gldm_DependenceEntropy,1035,ctx-lh-insula,LH,insula,Texture – GLDM
label1012_log-sigma-1-0-mm-3D_firstorder_Skewness,1012,ctx-lh-lateralorbitofrontal,LH,lateralorbitofrontal,First-order
label2028_wavelet-HLH_glcm_DifferenceVariance,2028,ctx-rh-superiorfrontal,RH,superiorfrontal,Texture – GLCM
label2023_wavelet-LLH_glrlm_RunEntropy,2023,ctx-rh-posteriorcingulate,RH,posteriorcingulate,Texture – GLRLM
label1028_wavelet-LHL_firstorder_Skewness,1028,ctx-lh-superiorfrontal,LH,superiorfrontal,First-order
label2028_wavelet-HLH_glcm_Imc1,2028,ctx-rh-superiorfrontal,RH,superiorfrontal,Texture – GLCM
label1014_wavelet-LLH_glcm_Autocorrelation,1014,ctx-lh-medialorbitofrontal,LH,medialorbitofrontal,Texture – GLCM
label2023_wavelet-LLH_gldm_LargeDependenceEmphasis,2023,ctx-rh-posteriorcingulate,RH,posteriorcingulate,Texture – GLDM
label2011_wavelet-LHH_gldm_SmallDependenceEmphasis,2011,ctx-rh-lateraloccipital,RH,lateraloccipital,Texture – GLDM
label41_wavelet-LLH_glrlm_GrayLevelVariance,41,Right-Cerebral-White-Matter,RH,Cerebral-White-Matter,Texture – GLRLM
label41_wavelet-LLH_glrlm_GrayLevelNonUniformityNormalized,41,Right-Cerebral-White-Matter,RH,Cerebral-White-Matter,Texture – GLRLM
label2035_log-sigma-5-0-mm-3D_glcm_DifferenceVariance,2035,ctx-rh-insula,RH,insula,Texture – GLCM
label2002_wavelet-LLH_gldm_DependenceNonUniformityNormalized,2002,ctx-rh-caudalanteriorcingulate,RH,caudalanteriorcingulate,Texture – GLDM
label8_log-sigma-1-0-mm-3D_gldm_LargeDependenceEmphasis,8,Left-Cerebellum-Cortex,LH,Cerebellum-Cortex,Texture – GLDM
label2035_log-sigma-5-0-mm-3D_glcm_Contrast,2035,ctx-rh-insula,RH,insula,Texture – GLCM
label2035_log-sigma-5-0-mm-3D_glcm_Idn,2035,ctx-rh-insula,RH,insula,Texture – GLCM
label2035_log-sigma-5-0-mm-3D_glcm_Idmn,2035,ctx-rh-insula,RH,insula,Texture – GLCM
label2035_log-sigma-5-0-mm-3D_glcm_DifferenceAverage,2035,ctx-rh-insula,RH,insula,Texture – GLCM
label2035_log-sigma-5-0-mm-3D_glcm_Idm,2035,ctx-rh-insula,RH,insula,Texture – GLCM
label2035_log-sigma-5-0-mm-3D_glcm_Id,2035,ctx-rh-insula,RH,insula,Texture – GLCM
label2035_log-sigma-5-0-mm-3D_glcm_InverseVariance,2035,ctx-rh-insula,RH,insula,Texture – GLCM
label14_wavelet-LHH_firstorder_Kurtosis,14,3rd-Ventricle,Midline/Other,3rd-Ventricle,First-order
label50_wavelet-LHH_firstorder_MeanAbsoluteDeviation,50,Right-Caudate,RH,Caudate,First-order
label2035_log-sigma-5-0-mm-3D_glcm_DifferenceEntropy,2035,ctx-rh-insula,RH,insula,Texture – GLCM
label41_wavelet-LLH_glcm_Imc1,41,Right-Cerebral-White-Matter,RH,Cerebral-White-Matter,Texture – GLCM
label41_wavelet-LLH_glrlm_HighGrayLevelRunEmphasis,41,Right-Cerebral-White-Matter,RH,Cerebral-White-Matter,Texture – GLRLM
label41_wavelet-LLH_glrlm_LowGrayLevelRunEmphasis,41,Right-Cerebral-White-Matter,RH,Cerebral-White-Matter,Texture – GLRLM
label1014_wavelet-LLH_gldm_HighGrayLevelEmphasis,1014,ctx-lh-medialorbitofrontal,LH,medialorbitofrontal,Texture – GLDM
label1014_wavelet-LLH_gldm_LowGrayLevelEmphasis,1014,ctx-lh-medialorbitofrontal,LH,medialorbitofrontal,Texture – GLDM
label2011_wavelet-HHH_gldm_SmallDependenceHighGrayLevelEmphasis,2011,ctx-rh-lateraloccipital,RH,lateraloccipital,Texture – GLDM
label11_wavelet-HHH_firstorder_90Percentile,11,Left-Caudate,LH,Caudate,First-order
label1018_wavelet-LHL_glrlm_LongRunHighGrayLevelEmphasis,1018,ctx-lh-parsopercularis,LH,parsopercularis,Texture – GLRLM
label2023_wavelet-LLH_glrlm_RunLengthNonUniformityNormalized,2023,ctx-rh-posteriorcingulate,RH,posteriorcingulate,Texture – GLRLM
label2010_wavelet-HLH_firstorder_RobustMeanAbsoluteDeviation,2010,ctx-rh-isthmuscingulate,RH,isthmuscingulate,First-order
label58_wavelet-HHH_firstorder_TotalEnergy,58,Right-Accumbens-area,RH,Accumbens-area,First-order
label50_wavelet-HLH_glcm_ClusterShade,50,Right-Caudate,RH,Caudate,Texture – GLCM
label58_wavelet-HHH_firstorder_Energy,58,Right-Accumbens-area,RH,Accumbens-area,First-order
label50_wavelet-HHH_firstorder_TotalEnergy,50,Right-Caudate,RH,Caudate,First-order
label50_wavelet-HHH_firstorder_Energy,50,Right-Caudate,RH,Caudate,First-order
label11_wavelet-HHH_firstorder_10Percentile,11,Left-Caudate,LH,Caudate,First-order
label2019_wavelet-LLH_glcm_ClusterShade,2019,ctx-rh-parsorbitalis,RH,parsorbitalis,Texture – GLCM
label1010_wavelet-HHH_glcm_MaximumProbability,1010,ctx-lh-isthmuscingulate,LH,isthmuscingulate,Texture – GLCM
label1014_log-sigma-1-0-mm-3D_firstorder_Median,1014,ctx-lh-medialorbitofrontal,LH,medialorbitofrontal,First-order
label2010_wavelet-HLH_firstorder_Energy,2010,ctx-rh-isthmuscingulate,RH,isthmuscingulate,First-order
label2010_wavelet-HLH_firstorder_TotalEnergy,2010,ctx-rh-isthmuscingulate,RH,isthmuscingulate,First-order
label2011_original_gldm_SmallDependenceHighGrayLevelEmphasis,2011,ctx-rh-lateraloccipital,RH,lateraloccipital,Texture – GLDM
label2011_wavelet-LLL_gldm_SmallDependenceHighGrayLevelEmphasis,2011,ctx-rh-lateraloccipital,RH,lateraloccipital,Texture – GLDM
label2011_wavelet-LLL_gldm_SmallDependenceEmphasis,2011,ctx-rh-lateraloccipital,RH,lateraloccipital,Texture – GLDM
label2011_original_gldm_SmallDependenceLowGrayLevelEmphasis,2011,ctx-rh-lateraloccipital,RH,lateraloccipital,Texture – GLDM
label2011_original_gldm_SmallDependenceEmphasis,2011,ctx-rh-lateraloccipital,RH,lateraloccipital,Texture – GLDM
label2011_wavelet-LLL_gldm_SmallDependenceLowGrayLevelEmphasis,2011,ctx-rh-lateraloccipital,RH,lateraloccipital,Texture – GLDM
label50_wavelet-HLH_glcm_MaximumProbability,50,Right-Caudate,RH,Caudate,Texture – GLCM
label1035_log-sigma-3-0-mm-3D_glrlm_LowGrayLevelRunEmphasis,1035,ctx-lh-insula,LH,insula,Texture – GLRLM
label1035_log-sigma-3-0-mm-3D_glrlm_HighGrayLevelRunEmphasis,1035,ctx-lh-insula,LH,insula,Texture – GLRLM
label1031_wavelet-HLL_glcm_Imc1,1031,ctx-lh-supramarginal,LH,supramarginal,Texture – GLCM
label50_wavelet-HLH_glcm_JointAverage,50,Right-Caudate,RH,Caudate,Texture – GLCM
label50_wavelet-HLH_glcm_SumAverage,50,Right-Caudate,RH,Caudate,Texture – GLCM
label8_log-sigma-1-0-mm-3D_glcm_ClusterProminence,8,Left-Cerebellum-Cortex,LH,Cerebellum-Cortex,Texture – GLCM
label8_log-sigma-1-0-mm-3D_glrlm_RunPercentage,8,Left-Cerebellum-Cortex,LH,Cerebellum-Cortex,Texture – GLRLM
label2023_wavelet-LLH_glrlm_LongRunLowGrayLevelEmphasis,2023,ctx-rh-posteriorcingulate,RH,posteriorcingulate,Texture – GLRLM
label2014_log-sigma-1-0-mm-3D_firstorder_Median,2014,ctx-rh-medialorbitofrontal,RH,medialorbitofrontal,First-order
label8_log-sigma-1-0-mm-3D_glrlm_RunLengthNonUniformityNormalized,8,Left-Cerebellum-Cortex,LH,Cerebellum-Cortex,Texture – GLRLM
label2011_wavelet-HHL_gldm_SmallDependenceHighGrayLevelEmphasis,2011,ctx-rh-lateraloccipital,RH,lateraloccipital,Texture – GLDM
label41_wavelet-HLL_glcm_DifferenceEntropy,41,Right-Cerebral-White-Matter,RH,Cerebral-White-Matter,Texture – GLCM
label2011_wavelet-HHH_gldm_SmallDependenceEmphasis,2011,ctx-rh-lateraloccipital,RH,lateraloccipital,Texture – GLDM
label1035_log-sigma-3-0-mm-3D_glrlm_GrayLevelVariance,1035,ctx-lh-insula,LH,insula,Texture – GLRLM
label1035_log-sigma-3-0-mm-3D_glrlm_GrayLevelNonUniformityNormalized,1035,ctx-lh-insula,LH,insula,Texture – GLRLM
label1031_wavelet-HLL_glcm_DifferenceEntropy,1031,ctx-lh-supramarginal,LH,supramarginal,Texture – GLCM
label50_wavelet-HLH_glcm_JointEntropy,50,Right-Caudate,RH,Caudate,Texture – GLCM
label2014_log-sigma-1-0-mm-3D_glcm_ClusterShade,2014,ctx-rh-medialorbitofrontal,RH,medialorbitofrontal,Texture – GLCM
label8_log-sigma-1-0-mm-3D_glrlm_RunEntropy,8,Left-Cerebellum-Cortex,LH,Cerebellum-Cortex,Texture – GLRLM
label1022_wavelet-HLL_glszm_ZoneEntropy,1022,ctx-lh-postcentral,LH,postcentral,Texture – GLSZM
label8_wavelet-HLL_glcm_JointEntropy,8,Left-Cerebellum-Cortex,LH,Cerebellum-Cortex,Texture – GLCM
label2014_wavelet-LLH_gldm_LargeDependenceLowGrayLevelEmphasis,2014,ctx-rh-medialorbitofrontal,RH,medialorbitofrontal,Texture – GLDM
label2002_wavelet-LLH_glcm_DifferenceEntropy,2002,ctx-rh-caudalanteriorcingulate,RH,caudalanteriorcingulate,Texture – GLCM
label2002_wavelet-HHH_firstorder_10Percentile,2002,ctx-rh-caudalanteriorcingulate,RH,caudalanteriorcingulate,First-order
label1035_wavelet-LHL_glcm_ClusterShade,1035,ctx-lh-insula,LH,insula,Texture – GLCM
label2023_wavelet-LLH_glrlm_ShortRunEmphasis,2023,ctx-rh-posteriorcingulate,RH,posteriorcingulate,Texture – GLRLM
label14_wavelet-LHH_firstorder_InterquartileRange,14,3rd-Ventricle,Midline/Other,3rd-Ventricle,First-order
label1003_wavelet-LLH_glcm_DifferenceEntropy,1003,ctx-lh-caudalmiddlefrontal,LH,caudalmiddlefrontal,Texture – GLCM
label1014_wavelet-LLH_firstorder_Median,1014,ctx-lh-medialorbitofrontal,LH,medialorbitofrontal,First-order
label50_wavelet-HLH_glcm_JointEnergy,50,Right-Caudate,RH,Caudate,Texture – GLCM
label2002_wavelet-LHH_firstorder_TotalEnergy,2002,ctx-rh-caudalanteriorcingulate,RH,caudalanteriorcingulate,First-order
label2002_wavelet-LHH_firstorder_Energy,2002,ctx-rh-caudalanteriorcingulate,RH,caudalanteriorcingulate,First-order
label2002_wavelet-LLH_gldm_DependenceEntropy,2002,ctx-rh-caudalanteriorcingulate,RH,caudalanteriorcingulate,Texture – GLDM
label1035_log-sigma-3-0-mm-3D_gldm_LargeDependenceHighGrayLevelEmphasis,1035,ctx-lh-insula,LH,insula,Texture – GLDM
label1031_wavelet-HLL_glcm_DifferenceVariance,1031,ctx-lh-supramarginal,LH,supramarginal,Texture – GLCM
label2_log-sigma-1-0-mm-3D_glszm_GrayLevelNonUniformity,2,Left-Cerebral-White-Matter,LH,Cerebral-White-Matter,Texture – GLSZM
label46_wavelet-HHH_firstorder_Energy,46,Right-Cerebellum-White-Matter,RH,Cerebellum-White-Matter,First-order
label46_wavelet-HHH_firstorder_TotalEnergy,46,Right-Cerebellum-White-Matter,RH,Cerebellum-White-Matter,First-order
label2011_wavelet-HHH_glrlm_ShortRunHighGrayLevelEmphasis,2011,ctx-rh-lateraloccipital,RH,lateraloccipital,Texture – GLRLM
label1035_wavelet-LHL_gldm_HighGrayLevelEmphasis,1035,ctx-lh-insula,LH,insula,Texture – GLDM
label1035_wavelet-LHL_gldm_LowGrayLevelEmphasis,1035,ctx-lh-insula,LH,insula,Texture – GLDM
label1003_wavelet-LLH_glcm_DifferenceVariance,1003,ctx-lh-caudalmiddlefrontal,LH,caudalmiddlefrontal,Texture – GLCM
label10_wavelet-LHH_firstorder_Energy,10,Left-Thalamus-Proper*,LH,Thalamus-Proper*,First-order
label10_wavelet-LHH_firstorder_TotalEnergy,10,Left-Thalamus-Proper*,LH,Thalamus-Proper*,First-order
label2011_wavelet-LLL_glrlm_ShortRunLowGrayLevelEmphasis,2011,ctx-rh-lateraloccipital,RH,lateraloccipital,Texture – GLRLM
label2011_wavelet-LLL_glrlm_ShortRunHighGrayLevelEmphasis,2011,ctx-rh-lateraloccipital,RH,lateraloccipital,Texture – GLRLM
label2011_original_glrlm_ShortRunLowGrayLevelEmphasis,2011,ctx-rh-lateraloccipital,RH,lateraloccipital,Texture – GLRLM
label2011_original_glrlm_ShortRunHighGrayLevelEmphasis,2011,ctx-rh-lateraloccipital,RH,lateraloccipital,Texture – GLRLM
label2011_original_glrlm_ShortRunEmphasis,2011,ctx-rh-lateraloccipital,RH,lateraloccipital,Texture – GLRLM
label2011_wavelet-LLL_glrlm_ShortRunEmphasis,2011,ctx-rh-lateraloccipital,RH,lateraloccipital,Texture – GLRLM
label2011_wavelet-HHL_gldm_SmallDependenceLowGrayLevelEmphasis,2011,ctx-rh-lateraloccipital,RH,lateraloccipital,Texture – GLDM
label2010_wavelet-HLH_firstorder_MeanAbsoluteDeviation,2010,ctx-rh-isthmuscingulate,RH,isthmuscingulate,First-order
label8_wavelet-LHL_glcm_JointEntropy,8,Left-Cerebellum-Cortex,LH,Cerebellum-Cortex,Texture – GLCM
label2010_wavelet-HLH_firstorder_10Percentile,2010,ctx-rh-isthmuscingulate,RH,isthmuscingulate,First-order
label2002_wavelet-LLH_glcm_DifferenceVariance,2002,ctx-rh-caudalanteriorcingulate,RH,caudalanteriorcingulate,Texture – GLCM
label2019_wavelet-LLH_glcm_JointAverage,2019,ctx-rh-parsorbitalis,RH,parsorbitalis,Texture – GLCM
label2019_wavelet-LLH_glcm_SumAverage,2019,ctx-rh-parsorbitalis,RH,parsorbitalis,Texture – GLCM
label41_wavelet-HLL_glcm_DifferenceVariance,41,Right-Cerebral-White-Matter,RH,Cerebral-White-Matter,Texture – GLCM
label2023_wavelet-LHL_gldm_LargeDependenceLowGrayLevelEmphasis,2023,ctx-rh-posteriorcingulate,RH,posteriorcingulate,Texture – GLDM
label2002_wavelet-LLH_glcm_Imc1,2002,ctx-rh-caudalanteriorcingulate,RH,caudalanteriorcingulate,Texture – GLCM
label11_wavelet-LHH_firstorder_MeanAbsoluteDeviation,11,Left-Caudate,LH,Caudate,First-order
label2002_wavelet-HHH_firstorder_RobustMeanAbsoluteDeviation,2002,ctx-rh-caudalanteriorcingulate,RH,caudalanteriorcingulate,First-order
label253_wavelet-HHH_firstorder_Energy,253,CC_Central,Midline/Other,CC_Central,First-order
label2_wavelet-LLH_glrlm_HighGrayLevelRunEmphasis,2,Left-Cerebral-White-Matter,LH,Cerebral-White-Matter,Texture – GLRLM
label2_wavelet-LLH_glrlm_LowGrayLevelRunEmphasis,2,Left-Cerebral-White-Matter,LH,Cerebral-White-Matter,Texture – GLRLM
label253_wavelet-HHH_firstorder_TotalEnergy,253,CC_Central,Midline/Other,CC_Central,First-order
label41_wavelet-LLH_glcm_JointEntropy,41,Right-Cerebral-White-Matter,RH,Cerebral-White-Matter,Texture – GLCM
label28_wavelet-LHL_glcm_Id,28,Left-VentralDC,LH,VentralDC,Texture – GLCM
label28_wavelet-LHL_glcm_DifferenceAverage,28,Left-VentralDC,LH,VentralDC,Texture – GLCM
label28_wavelet-LHL_glcm_Contrast,28,Left-VentralDC,LH,VentralDC,Texture – GLCM
label2023_wavelet-LLH_glrlm_LongRunEmphasis,2023,ctx-rh-posteriorcingulate,RH,posteriorcingulate,Texture – GLRLM
label28_wavelet-LHL_glcm_InverseVariance,28,Left-VentralDC,LH,VentralDC,Texture – GLCM
label2028_wavelet-LLH_glcm_DifferenceEntropy,2028,ctx-rh-superiorfrontal,RH,superiorfrontal,Texture – GLCM
label28_wavelet-LHL_glcm_Idmn,28,Left-VentralDC,LH,VentralDC,Texture – GLCM
label28_wavelet-LHL_glcm_Idm,28,Left-VentralDC,LH,VentralDC,Texture – GLCM
label28_wavelet-LHL_glcm_Idn,28,Left-VentralDC,LH,VentralDC,Texture – GLCM
label1011_wavelet-HHL_glrlm_RunLengthNonUniformityNormalized,1011,ctx-lh-lateraloccipital,LH,lateraloccipital,Texture – GLRLM
